"","sourceid","dstid","hod","mean_travel_time","standard_deviation_travel_time","geometric_mean_travel_time","geometric_standard_deviation_travel_time"
"469111",103,1586,22,1067.47,322.23,1023.95,1.33
"4317122",1894,889,13,883.31,254.19,850.59,1.31
"9023599",1287,448,10,1255.93,434.7,1192.3,1.37
"9181535",1160,247,9,623.65,218.71,588.21,1.4
"7645606",2466,311,9,409.43,300.75,367.11,1.49
"855921",664,659,20,1417.8,301.68,1387.15,1.23
"9512256",904,1472,22,892.89,299.29,840.66,1.42
"2553066",982,1633,2,1387.29,515.27,1306.75,1.4
"1369621",100,1097,9,2217.06,622.24,2135.82,1.31
"10831777",1120,1069,12,923.15,192.84,905.99,1.21
"5607840",1528,171,10,868.25,260.46,837.01,1.3
"7564090",351,1286,1,506.32,237.95,469.77,1.42
"5990340",1458,2455,8,1335.09,248.64,1313.9,1.19
"2893676",718,87,7,1966.5,339.45,1936.76,1.19
"5430517",1542,1086,1,813.63,163.97,796.38,1.23
"7239945",628,456,11,1087.46,328.65,1039.85,1.35
"960858",152,715,1,1133.23,303.16,1093.79,1.3
"1651290",1066,1542,0,279.81,169.06,229.3,2.01
"2805234",96,537,23,1418.79,322.45,1385.15,1.24
"621445",888,1891,13,1724.38,472.61,1671.48,1.27
"2190011",1689,542,1,1384.8,303.19,1352.83,1.24
"5111112",1271,2421,18,2038.8,450.19,1991.53,1.24
"3600761",345,2613,12,1083.26,342.14,1049.79,1.26
"6391142",723,546,17,1067.85,250.8,1040.49,1.25
"10223469",756,457,14,2733.17,263.37,2720.57,1.1
"8288063",187,1269,5,1452.14,327.63,1418.76,1.24
"9334070",2210,1550,21,2077.5,585.53,2007.63,1.29
"6095855",1850,1724,17,1477.48,588.06,1374.85,1.46
"7147522",1541,1046,16,690.93,264.24,643.03,1.51
"8121031",123,1100,8,2546.53,425.56,2510.68,1.18
"6852304",472,1513,10,2192.56,650.87,2109.97,1.31
"7486169",2448,2248,23,396.57,203.05,357.25,1.56
"3444933",2317,1498,8,1449.13,195.51,1436.15,1.14
"5604782",1735,1736,8,1585.84,373.16,1542.85,1.26
"9974037",1281,394,17,3089.33,604.22,3027.91,1.23
"4040305",2677,1181,10,1704.29,343.22,1670.46,1.22
"8134828",2654,1120,23,423.11,321.53,339.46,1.89
"4955887",621,2214,14,1152.26,363.74,1104.65,1.32
"7339392",1930,1555,6,1487.67,412.97,1440.28,1.28
"1787112",949,610,2,352.88,130.23,331.38,1.42
"9400041",2536,1852,10,736.18,274.45,690.72,1.43
"4852393",652,1280,0,536.44,217.21,504.55,1.39
"2953238",1273,2311,21,1368.6,399.09,1300.8,1.45
"2666661",2496,663,10,1185.03,205.67,1166.57,1.2
"8947219",1339,817,20,1284.76,373.24,1240.55,1.29
"5518413",2442,1746,5,1162.33,137.47,1154.2,1.13
"8360895",2104,204,20,524.53,304.49,463.78,1.62
"3068183",1523,2401,23,514.81,205.97,479.59,1.47
"7945276",1743,2525,5,1574.18,322.78,1548.06,1.19
"9780575",1604,46,23,1787,328.73,1756.49,1.21
"106206",1567,324,20,1275.54,540.99,1191.49,1.42
"2780321",2247,2634,10,2550.63,778.08,2444.55,1.33
"7911657",2356,719,7,2690.31,722.43,2599.2,1.3
"675663",1245,1095,10,2290.09,343.67,2265.8,1.16
"3556973",2622,2203,20,1834.45,335.4,1807.26,1.18
"4621972",642,2606,9,955.24,487.18,914.49,1.28
"5849996",1743,558,10,2048.59,387.13,2015.99,1.19
"2896518",415,2308,7,3263.15,1540.95,2950.03,1.56
"1648187",1527,457,1,428.91,166.63,391.87,1.68
"1697323",1597,742,15,2014.2,531.49,1954.5,1.27
"5767723",2504,543,23,933.75,430.9,871.87,1.41
"8841899",1929,1933,8,335.14,172.47,302.63,1.54
"7862418",2401,2437,23,1518.14,201.75,1504.6,1.14
"1060775",1691,79,14,315.29,189.28,275.44,1.66
"3658916",1081,2497,8,1760.94,947.98,1543.71,1.66
"435079",2304,1874,17,2577.38,834.91,2409.45,1.48
"5728387",1534,195,8,2730.23,611.36,2653.48,1.28
"9299747",889,719,5,507.75,124.07,494.02,1.26
"2284502",1073,1649,19,2828.7,488,2784.98,1.2
"6134570",1299,2632,15,1720.8,505.31,1641.71,1.37
"6369548",165,1745,18,2158.79,495.59,2107.39,1.24
"5272298",2022,2398,21,2064.25,301.74,2047.23,1.13
"3774005",1832,2363,20,525.74,259.83,482.44,1.46
"7435677",2200,1634,21,992.87,352.3,945.35,1.35
"7497151",1737,910,18,3127.91,559.12,3078.14,1.2
"8284685",1724,2355,18,2329.74,537.6,2264.19,1.28
"6588083",663,1707,13,2003.5,278.78,1985.34,1.14
"5288072",1703,1733,11,1919.01,384.6,1885.22,1.2
"956257",1920,3,1,1099.78,26.37,1099.46,1.02
"4232422",2169,1830,20,428.56,218.65,389.83,1.53
"5528037",1357,1307,15,1341.09,219.01,1325.25,1.16
"5855519",1271,2603,14,3196.3,1253.5,2989.59,1.43
"3897644",615,1565,20,795.93,149.61,783.19,1.19
"190450",958,382,11,988.73,294.64,948.05,1.33
"150350",1014,2465,14,3661.33,455.27,3632.33,1.14
"7999739",554,1332,19,1158.14,219.68,1136.73,1.22
"5288402",1885,2148,13,1061.72,427.79,980.7,1.49
"4792717",811,1059,0,1033.67,468.45,957.67,1.44
"3905742",556,300,8,1473,296.36,1441.24,1.24
"2054702",2307,1847,17,2326.08,674.78,2231.72,1.33
"4522718",1281,653,7,906.09,202.67,882.35,1.26
"2623991",1807,2241,4,978.36,652.02,794.21,2.05
"589581",1062,595,5,806.55,307.05,743.63,1.56
"6685434",1276,1778,12,1037.94,253.63,1011.46,1.25
"9705838",1525,1691,23,1517.86,346.6,1483.82,1.23
"247095",127,1936,17,2102.08,746.96,1971.02,1.44
"7865257",2316,2624,5,1072.71,224.49,1049.26,1.24
"3259634",369,2430,13,1291.86,199.32,1277.61,1.16
"1610176",1269,2438,20,2766.68,716.39,2682.83,1.28
"10357302",2201,627,0,170.94,151.23,108.58,3.01
"9229149",1918,739,20,727.5,187.44,705.6,1.28
"9813206",1743,1234,11,2156.56,463.75,2117.72,1.2
"10003738",447,886,10,1195.1,462.54,1113.8,1.46
"8240096",6,402,17,2980.33,613.02,2907.37,1.26
"1085660",209,1450,0,1090.97,443.86,1005.64,1.5
"1018220",252,1495,18,365.71,207.22,323.16,1.67
"5250346",1747,81,14,1450.68,346.85,1416.2,1.23
"2913769",653,2503,2,763.31,216.41,738.1,1.28
"10817493",687,475,9,3093.5,314.5,3076.74,1.11
"3695691",741,303,4,204.53,177.91,170.71,1.66
"1970855",433,2232,19,2218.8,211.16,2209.68,1.09
"4295827",610,1851,22,3352.29,264.03,3341.73,1.08
"4579892",306,2171,9,335.77,151.59,315.86,1.37
"4246999",2115,2505,7,3401.96,912.63,3290.35,1.29
"6563798",627,1664,11,4469.22,293.94,4460.07,1.07
"1754576",65,606,7,1016.48,325.96,972.08,1.34
"5236160",2363,1827,18,709.5,275.17,668.91,1.39
"7149975",1833,1306,19,666.21,295.37,611.35,1.5
"7109692",1833,2374,13,969.12,244.37,943.64,1.25
"2925586",1265,1850,17,2645.09,390.55,2618.51,1.15
"8206914",1746,448,7,2654.21,777.22,2539.29,1.35
"9417682",1513,288,2,1057.16,357.62,1010.74,1.33
"10974380",643,1838,21,3159.21,515.19,3119.3,1.17
"2465353",1852,2315,2,2401.13,228.74,2391.27,1.09
"4225324",757,2060,17,816.49,474.25,722.5,1.6
"890235",965,1698,21,866.92,232.27,836.16,1.31
"10871578",1247,1630,1,1083.5,335.7,1035.77,1.34
"5295964",395,434,20,2789.07,571.67,2739.5,1.2
"9071084",283,1685,16,2458.73,546.55,2392.11,1.27
"11012822",105,467,12,2079.62,435.23,2034.53,1.23
"7608611",1081,905,19,1697.5,375.73,1656.49,1.25
"4279428",463,1498,16,848.49,280.63,809.43,1.35
"2693484",1528,1526,13,762.81,257.56,722.19,1.39
"9303052",1934,1431,23,1460.06,459.18,1412.2,1.27
"8772449",1517,2441,22,1654.22,510.67,1585.81,1.33
"1627877",2513,556,14,1416.51,368.46,1369.49,1.3
"8537896",967,2466,22,1370,324.53,1337.64,1.24
"11069672",1944,2643,6,218.79,119.04,179.61,2.21
"6222055",2673,2625,0,282.55,144.36,257.47,1.51
"11061008",1609,2593,17,1994.64,554.05,1913.89,1.34
"5492294",1069,907,0,1470.11,313.82,1437.23,1.24
"6655698",1723,975,15,3505.47,534.33,3459.47,1.18
"4524456",2485,1609,15,698.45,306.74,640.33,1.51
"4099565",1781,280,18,2732.74,591.28,2673.08,1.23
"5600294",2125,1171,14,1730.92,458.59,1683.28,1.25
"6156115",2682,1117,23,1401.43,547.71,1302.68,1.46
"9314865",2603,2214,21,567.37,247.68,527.42,1.44
"6340783",394,1303,22,1101.42,285.65,1070.78,1.26
"10701501",2356,959,21,641.3,273.09,596.54,1.44
"10485439",915,965,17,1145.17,271.42,1113.24,1.27
"10150468",920,52,1,1270,269.5,1241.25,1.24
"4270456",1764,1120,15,1986.03,898.37,1836.05,1.46
"9135758",2155,975,5,1223.32,515.91,1151.42,1.38
"5538996",592,321,9,599.78,227.46,566.58,1.38
"3634685",715,2526,10,1695.11,1259.73,1515.14,1.49
"4111057",534,648,19,971.41,207.15,951.06,1.23
"3617448",2435,645,23,2046.54,472.35,1995.86,1.25
"1946981",617,1017,13,716.03,243.5,681.2,1.36
"1154324",2145,817,3,1982.89,447.64,1934.23,1.25
"3725012",2694,1536,2,1385.37,343.49,1345.98,1.27
"2687293",695,1825,17,659.74,293.3,610.97,1.45
"10271546",303,1099,14,2561.25,601.33,2485.62,1.29
"1493637",2647,2448,9,2442,606.52,2364.19,1.29
"5375706",1554,2247,20,1559.4,282.42,1536.53,1.18
"8615890",1536,2356,16,2219.1,517.33,2156.81,1.27
"9425842",1834,1920,7,948,302.74,903.57,1.36
"783948",814,1954,20,2906.18,120.31,2903.73,1.04
"9135031",1305,1338,23,1049.79,300.14,1011.66,1.31
"6451012",1069,2513,22,3426.67,828.38,3322.67,1.29
"6452470",1243,2304,11,1668.22,367.46,1626.05,1.26
"9858509",1245,2339,21,1718.24,410.7,1675.99,1.24
"4447871",1121,82,22,1934.2,399.53,1896.84,1.21
"2285200",1746,1234,10,1988.8,322.99,1964.8,1.17
"455093",2137,535,10,1105.52,433.82,1050.98,1.34
"3522421",1578,1729,12,2952.95,342.51,2933.24,1.12
"6913518",652,1634,23,1917.16,346.82,1890.77,1.17
"10060534",2170,2226,20,2051.71,531.44,1997.24,1.25
"3587211",1772,91,21,1896.83,444.69,1848.68,1.25
"6642687",1291,1720,5,789.05,218.37,763.48,1.28
"9744792",1888,1887,16,285.1,202.42,212.2,2.34
"4997265",939,99,10,863.1,176.39,845.28,1.23
"9565419",1872,1874,21,428.42,298.41,343.12,2
"4827926",2246,1756,0,651.3,267.57,608.05,1.42
"5591090",1062,79,12,2466.1,776.75,2338.83,1.39
"11028661",1838,562,23,816.13,430.42,733.89,1.56
"6700172",1926,1868,10,1277.91,327.01,1236.68,1.29
"544440",108,1553,20,784.11,221.75,757.46,1.29
"10947523",1069,138,16,2784.06,761.99,2682.95,1.31
"5266839",2388,1018,9,539.42,198.73,510.35,1.37
"5503079",290,2353,8,741.66,213.22,711.69,1.34
"11095729",687,1597,15,2475.31,799.49,2344.87,1.4
"4847915",1759,1291,22,1970.95,305.58,1951.5,1.14
"6210987",1293,1119,16,2017.66,580.13,1936.58,1.33
"8075445",100,1775,6,2837.29,612.76,2757.94,1.29
"7428448",1236,1911,2,845.55,280.1,804.87,1.36
"939552",2023,1537,18,2627,1294.61,2410.46,1.47
"8796619",1935,65,6,1248,332.89,1213.28,1.25
"8397736",1531,1520,8,887,265,850.9,1.33
"5570944",1467,743,14,1338.98,232.96,1320.08,1.18
"8987255",604,1556,22,804.42,350.39,748.44,1.44
"9191521",678,1927,17,3266,779.71,3170.89,1.28
"2818757",1707,2187,16,2637.73,863.05,2522.39,1.33
"3988933",1452,2317,9,1287.58,342.65,1241.9,1.31
"11010931",2403,1523,17,1321.62,616.12,1256.25,1.32
"4283288",276,1982,19,1143.22,273.42,1113.72,1.25
"3848106",80,1511,1,1597.96,286.43,1573.67,1.19
"10595020",2466,1540,1,1392.2,339.33,1355.54,1.25
"4358829",1271,2216,7,1898,456,1838.57,1.3
"8217494",1270,2157,16,1227.82,576.47,1128.76,1.5
"8669029",1274,723,23,1382.43,554.81,1268.25,1.52
"2136507",2025,234,20,5631.25,419.65,5615.48,1.08
"10671390",2069,950,19,3093.95,328.65,3078.48,1.1
"5418998",232,103,17,1649.1,824.14,1447.23,1.68
"9380990",666,950,8,771.67,131.79,761.39,1.17
"6768015",334,609,3,1814.96,423.08,1770.41,1.25
"4875558",598,1743,12,2301.73,479.89,2253.64,1.23
"9457065",2673,2370,3,2485,366.85,2459.5,1.15
"1297361",285,1034,23,1282.74,274.04,1257.33,1.21
"3535960",650,660,1,1102.63,317.84,1059.57,1.33
"3997331",1080,1059,0,637.82,276.49,589.52,1.47
"3980234",1597,2202,10,1376.06,264.06,1354.2,1.19
"3143335",2505,2647,15,3139.29,704.69,3058.76,1.26
"4328710",1703,315,2,1343.18,263.86,1322.17,1.18
"2411643",2169,1613,23,2599.75,379.36,2576.42,1.14
"4537462",2434,388,10,1028.7,370.86,967.87,1.41
"9474898",536,2465,5,513.18,159.92,496.04,1.28
"9076594",1702,1518,23,1785.64,333.94,1756.83,1.19
"2474708",1299,643,0,624.16,191.8,596.03,1.36
"10359100",2503,2250,17,843.66,201.77,827.18,1.2
"4838093",614,615,18,547.55,213.7,515.13,1.4
"690041",369,321,10,2374,273.16,2357.57,1.13
"4928882",2404,543,9,2864.35,476.44,2830.3,1.16
"9056321",1307,2222,9,1037.77,315.13,993.26,1.34
"438855",2022,2709,11,3104.67,575.47,3060.02,1.18
"487653",469,2700,17,1995.91,723.41,1904.09,1.33
"2373293",1834,252,11,2719.1,821.04,2626.8,1.28
"687193",2451,653,12,633.86,240.98,593.52,1.43
"2983330",98,1261,20,1849.08,444.1,1800.66,1.25
"51362",614,1929,17,1944.21,683.12,1835.15,1.4
"2061201",2197,617,13,366.85,279.54,293.42,1.93
"10507345",151,2505,9,2440.4,729.77,2350.02,1.3
"8514708",1907,1270,11,1157.91,369.57,1108.84,1.33
"416255",840,608,10,3307.5,347.12,3289.97,1.11
"2866834",338,823,23,1426.91,355.16,1391.84,1.24
"10698982",2510,555,10,2329.39,662.98,2235.15,1.34
"3199672",559,2251,9,2267.75,312.27,2244.22,1.16
"8777888",1260,2240,15,4220.38,1151.18,4104.32,1.25
"1619943",1499,1273,10,2050.3,698.66,1948.78,1.36
"1471230",1660,1566,20,1142.71,288.03,1107.19,1.29
"1761665",534,1511,20,2481.55,457.48,2434.63,1.22
"6343922",208,234,6,1077.37,250.43,1052.39,1.23
"6415739",600,2213,20,1165.38,248.12,1139.59,1.24
"659134",554,1566,15,1054.06,334.51,1008.56,1.34
"5740104",646,1295,9,781.28,151.84,767.58,1.2
"2478728",240,1967,16,1191.4,263.66,1163.89,1.24
"3416538",2708,2466,11,1060.93,283.84,1027.48,1.28
"7927171",1025,1775,7,2891.89,980.27,2713.6,1.44
"4315009",1293,2465,4,1096.58,297.21,1057.38,1.31
"9297178",128,717,22,248.76,165.08,215.95,1.62
"10641955",2116,1687,6,2180.53,582.3,2112.39,1.28
"2875765",2465,1772,15,879.88,320.61,834.88,1.36
"5426351",2458,1450,9,1386.16,426.35,1342.77,1.26
"3372501",2673,725,12,2487.96,273.85,2474.4,1.11
"809483",2553,1689,5,2370.56,381,2339.41,1.18
"10480096",553,2594,7,614.1,271.45,556.41,1.61
"4092921",2029,415,22,852,202.02,833.64,1.22
"2430607",2262,1119,20,1203.14,251.38,1179.57,1.21
"1450587",2622,1742,5,878.32,220.16,853.68,1.26
"8094300",1592,415,11,172.29,210.9,96.93,3.3
"10880467",74,1907,19,229.76,165.61,190.25,1.8
"6851738",808,664,9,2398.86,687.49,2323.81,1.27
"1648178",1931,920,19,1193.88,247.45,1170.61,1.21
"1048528",2697,314,16,2069.72,607.6,1994.76,1.3
"3960618",1884,1631,16,3133.7,794.57,3024.14,1.32
"4280052",1119,2105,1,742.88,219.49,722.61,1.24
"9010478",1303,273,7,1707.1,458.82,1647.89,1.3
"5937006",345,1650,22,2956,407.18,2927.19,1.15
"8448120",1604,2023,12,870.55,118.68,863.19,1.14
"9282711",532,1309,10,3515.5,151.14,3512.29,1.04
"2670466",1996,2540,9,365.97,125.11,357.41,1.2
"185951",1331,920,22,1047.62,366.55,996.5,1.35
"9970143",277,843,22,1464.5,470.73,1396.84,1.35
"2516127",627,2021,9,2733.38,354.14,2714.07,1.12
"1638394",1992,1919,9,1120.85,303.02,1096.32,1.21
"8300720",1280,1682,10,258.13,100.02,243.29,1.4
"3512239",1053,2603,21,511.7,187.85,488.51,1.32
"8890754",1090,303,11,1750.2,513.31,1683.14,1.32
"5370041",232,91,16,679.07,287.54,636.07,1.41
"10956648",1399,2364,7,791.42,313.96,693.31,1.85
"2902883",2451,2503,16,330.94,202.01,297.31,1.51
"539656",1664,1177,23,410.67,241.1,350.19,1.73
"5778765",1557,2232,18,1741.35,433.45,1691.84,1.27
"1764781",1919,1386,11,1060.93,313.51,1021.08,1.31
"5888533",724,1937,0,831,362.33,755.95,1.54
"10908702",609,1080,15,569.27,528.64,475.04,1.73
"1831494",1339,1243,16,1632.75,971.39,1363.09,1.83
"5186941",1443,212,4,1182.53,372.26,1136.16,1.31
"7202890",1780,858,0,740.5,302.54,686.4,1.47
"2253491",99,392,1,1333.43,221.41,1317.03,1.17
"10582332",2315,2601,20,671.54,168.52,652.8,1.26
"323437",131,718,22,724.44,306.15,668.3,1.48
"5868562",1783,915,11,1023.31,227.52,998.79,1.25
"497347",1588,1093,10,1798.69,415.8,1753.33,1.25
"10242568",1279,1527,1,1129.76,373.02,1084.35,1.31
"754366",1339,176,2,636.82,276.92,591.54,1.45
"3991294",457,1534,5,295.21,213.33,256.01,1.6
"2966022",546,1872,23,712.06,172.47,693.03,1.26
"3502458",1604,707,0,3604.78,936.53,3515.82,1.23
"3459938",118,1705,7,2233.3,545.91,2161.06,1.3
"481966",893,479,15,217.1,199.39,137.78,3.06
"6086912",1521,1102,13,1407.3,297.79,1375.23,1.24
"3709794",2376,695,14,853.95,329.79,801.4,1.41
"4250574",2317,2378,8,2840.71,396.64,2812.59,1.15
"5880428",1549,277,14,1643.82,441.89,1584.17,1.32
"10357341",1437,2448,11,1748.14,312.84,1720.22,1.2
"5440447",1260,1098,22,2359.8,303.6,2339.66,1.14
"406155",1952,1575,9,1898.85,489.14,1849.83,1.24
"8876381",284,1690,12,1903.07,639.77,1800.74,1.4
"745873",153,1251,3,1019.31,231.8,989.69,1.29
"5836801",559,2155,8,960.64,341.91,905.73,1.41
"752577",2313,1099,23,2494.3,593.71,2433.95,1.24
"3378728",1103,622,1,1119.29,54.84,1117.92,1.05
"9385125",1545,2126,23,1626.28,222.63,1612.42,1.14
"11030252",1183,800,23,1436.4,414.35,1387.19,1.29
"8651940",31,209,17,2755.07,531.34,2705.06,1.21
"10611151",1049,1544,17,1892.33,501.33,1821.39,1.33
"1725301",2137,2272,17,3872.17,543.93,3835.3,1.15
"2226794",443,1053,15,2681.03,790.2,2568.55,1.34
"423960",458,1759,18,2420.18,321.81,2398,1.15
"10492532",1559,328,0,1611.63,374.46,1572.57,1.24
"4836085",1541,322,23,648.15,265.71,604.25,1.44
"6569682",1029,2396,8,2140.16,476.99,2089.47,1.24
"9181885",209,2210,7,1530.75,370.3,1489.7,1.26
"5550161",217,615,18,561.04,233.67,525.2,1.41
"3313103",1565,1203,17,4419.17,527.73,4387.91,1.13
"9018074",152,605,9,2452.71,581.34,2394.6,1.23
"3492627",2611,2176,18,1497.67,475.18,1434.61,1.33
"3209695",2358,447,11,2173.96,485.57,2123.27,1.24
"9688635",1582,2247,4,1554.36,279.06,1533.42,1.17
"2804571",1261,495,19,2071.92,417.8,2033.62,1.21
"3189225",2171,221,8,2073.95,462.65,2029.62,1.22
"3212156",118,1749,12,590.44,201.7,558.78,1.39
"6368589",1750,2613,13,936.46,593.22,837.96,1.54
"10200004",617,1019,12,276.48,162.47,243.26,1.72
"8903014",562,744,23,1153.2,1054.75,962.34,1.65
"8555758",703,300,21,876.2,242.89,846.86,1.29
"9138924",1064,1651,20,1548.13,611.02,1454.99,1.4
"4513522",63,1103,4,888.33,394.5,820.22,1.47
"3094552",805,1577,18,1576.25,383.76,1538.57,1.23
"8632638",133,701,17,1253.68,350.42,1210.02,1.3
"8581701",1534,80,10,2256.86,576.7,2185.04,1.29
"8356375",1202,1488,0,2279.25,282.52,2262.63,1.13
"6296328",1053,1688,9,2080,632.76,1978.41,1.38
"7699193",675,2708,2,718.14,116.52,708.68,1.18
"4630302",2456,1357,13,1243.77,294.1,1211.19,1.26
"8655067",718,552,17,584.74,340.14,495.16,1.78
"2712877",611,1730,14,2067.58,588.16,1990.73,1.31
"5966197",866,1510,23,1857.75,452.85,1805.32,1.27
"5943299",330,2703,14,3499.76,758.21,3418.09,1.24
"10051967",1692,2220,17,3034,988.74,2879.67,1.38
"6888951",1284,2613,14,2310.25,508.19,2260.21,1.23
"92689",288,315,22,1559.84,295.39,1535.61,1.19
"723297",2513,1688,12,3298.34,788.71,3210.76,1.26
"106789",2612,481,17,1219.83,210.64,1201.42,1.19
"4314580",1086,2347,8,1646.86,286.55,1621.19,1.2
"5996131",465,607,10,1096.24,214.72,1075.54,1.22
"9680435",985,1642,14,835.53,333.21,787.48,1.39
"10822929",648,20,20,818.84,220.6,793.31,1.28
"10940960",2396,2153,8,769,66.22,766.24,1.09
"2699437",186,2456,17,2769.29,523.68,2723.89,1.2
"3440741",2363,1274,23,746.44,194.61,725.95,1.25
"2905006",1781,385,8,1223.75,202.2,1209.56,1.16
"3463840",1892,251,23,769.71,290.18,730.87,1.35
"8141535",1473,103,23,575.95,122.67,566.62,1.18
"2175518",1578,222,18,1141.9,287.04,1110.46,1.26
"10774796",2496,1443,4,1066,274.13,1038.16,1.25
"4544338",2349,480,10,985.2,307.75,942.99,1.34
"8298325",2340,1705,10,545.8,182.62,526.44,1.29
"9703961",1060,2597,15,484.26,302.94,430.68,1.56
"3824291",2350,1526,11,1169.63,227.98,1145.91,1.23
"1984580",1541,65,17,2585.55,590.9,2520.48,1.25
"1103310",91,2108,13,4003.21,661.54,3958.76,1.15
"8934445",91,1396,15,3630.47,1090.45,3458.06,1.37
"8718598",1358,2244,18,1634.32,361.35,1597.29,1.24
"3559021",725,2231,22,2222.62,512.41,2179.78,1.2
"3356661",1544,458,18,1259.99,277.87,1231.27,1.24
"3307324",644,682,7,1986.62,451.57,1936.02,1.26
"518215",1707,79,20,1211,247.89,1185.98,1.23
"3852874",1697,2498,0,963.09,154.59,951.3,1.17
"8199822",1729,935,22,1083.69,197.96,1069.46,1.17
"4401325",2454,1853,13,1246.23,202.19,1233.12,1.15
"726714",1332,741,9,1454.31,514.05,1364.09,1.44
"6755823",613,2437,9,388.42,174.47,350.44,1.63
"9853604",181,2435,13,530.97,219.67,489.94,1.54
"8106150",1359,1721,21,560.33,216.36,527.52,1.39
"8662649",98,1121,13,2530.86,774.17,2416.27,1.36
"3141046",907,1057,20,2132.95,496.63,2079.52,1.25
"2765267",2219,2318,16,3287.83,850.84,3183.26,1.29
"9307653",2317,1734,21,2183.38,336.85,2157.44,1.17
"979134",1697,650,10,1080.64,245.54,1053.6,1.25
"6825730",1584,608,23,1449.33,447.74,1391.67,1.32
"1774873",1853,975,19,1332.03,451.35,1259.43,1.4
"7066198",2483,1036,11,830.18,418.8,765.5,1.44
"5416495",99,2218,18,484.49,208.79,448.19,1.47
"5590251",409,1729,23,1021.89,260.91,990.56,1.28
"238256",808,469,12,1520.75,418.2,1470.51,1.29
"10621894",2394,1729,7,2929.04,864.86,2803.59,1.35
"1210686",454,1944,15,3678.33,584.53,3626.01,1.19
"4702334",1100,1827,14,2393.1,426.27,2356.77,1.19
"10237103",2442,209,15,576.88,232.83,545,1.37
"394996",172,1233,11,3077.75,652.05,3005.64,1.25
"10813934",743,1759,5,1305.27,307.4,1268.77,1.27
"7155868",165,469,21,2510.33,506.84,2458.83,1.23
"6898951",1029,1691,20,2408,481.65,2364.75,1.2
"8840770",1030,953,20,1303.13,251.92,1283.4,1.18
"1221934",1260,209,21,1062.11,309.66,1026.55,1.29
"5919192",219,458,11,1861.87,355.34,1830.05,1.2
"8882981",1534,1546,9,1119.79,239.32,1101.56,1.18
"1194214",2224,1081,11,1255.73,304.02,1224.03,1.25
"960214",1499,954,17,1946.55,772,1786.86,1.53
"4276413",1233,722,18,775.79,233.96,739.6,1.37
"3328255",1781,2504,19,1056.25,232.7,1034.58,1.22
"4065398",1029,885,3,1258.59,326.08,1222.79,1.26
"10230797",2538,729,7,2969,390.49,2944.36,1.14
"1512934",1437,1728,18,685.56,332.01,625.82,1.51
"9571231",2233,1309,19,1093.14,313.83,1052.86,1.31
"7542200",2613,1922,8,2184.57,471.07,2139.45,1.22
"8741292",2396,595,3,1616.12,424.62,1567.05,1.27
"1792883",2121,1100,8,2361.7,338.72,2335.58,1.16
"685272",2107,1804,5,886.63,44.44,885.54,1.05
"6095707",389,1067,4,953.42,593.09,814.17,1.72
"6982886",1504,1045,13,571.43,326,494.75,1.69
"4237994",1443,2323,13,749.58,253.82,714.08,1.35
"3761134",468,2248,18,1894.56,270.35,1872.65,1.17
"2158819",885,1659,15,1439.64,332.82,1403.09,1.25
"9968762",1618,1038,15,1436.63,412.42,1381.49,1.32
"6474842",2378,530,3,629.1,214.42,595.61,1.39
"6339359",1699,434,23,760.47,205.21,736.19,1.28
"8358589",314,2658,21,1964.64,236.77,1951.67,1.12
"5676314",541,2453,17,651.13,215.83,627.69,1.28
"2075661",1275,294,12,3562.6,547.51,3523.14,1.16
"7622114",1584,2236,11,982.31,389.33,926.49,1.38
"539362",2348,2435,6,690.18,350.47,607.58,1.66
"9807347",565,2155,21,2098,451.12,2050.48,1.24
"9645921",1518,1550,7,2503.76,677.8,2415.49,1.31
"8870106",2004,2065,21,966.25,113.86,959.69,1.12
"6418667",325,1551,15,1462.27,522.25,1368.68,1.45
"8200110",1467,1934,14,2113.16,536.08,2068.28,1.21
"10582566",864,216,9,596.14,283.65,538.32,1.56
"655984",459,1538,3,567.08,213.93,533.46,1.41
"2399323",1547,1651,18,386.85,274.41,325.1,1.72
"8154666",461,1064,19,814.84,226.93,782.02,1.34
"2718079",1729,351,21,2377.28,536.74,2323.83,1.23
"5057183",196,2530,6,2158.29,422.65,2118.48,1.21
"2714449",2230,959,20,744.84,332.25,695.44,1.41
"1982268",1651,1821,15,5551,1412.92,5379.19,1.28
"9110568",564,1237,4,852.74,293.75,803.2,1.42
"1146590",2195,1024,14,1230.63,246.69,1207.95,1.21
"2882489",1047,1636,16,3017.67,1168.4,2779.03,1.52
"6193889",1729,208,3,1108,181.78,1092.91,1.18
"9162616",1098,2591,0,695.89,219.14,668.91,1.31
"10924061",1559,2434,21,510.24,186.37,480.83,1.4
"7020158",678,1868,21,2419.18,523.65,2368.98,1.22
"1968130",1575,155,19,2065.58,431.17,2026.57,1.21
"2803904",1031,206,18,2044.22,530.82,1979.38,1.29
"8422596",87,1473,9,941.16,352.06,889.14,1.39
"10706427",744,975,12,1090.32,277.71,1061.16,1.25
"7319247",1750,1829,16,2848.72,697.09,2769.51,1.27
"8470764",2618,650,12,2032.33,364.68,1999.71,1.2
"6059195",1907,701,6,711.14,208.95,681.08,1.34
"4204827",2136,26,20,2303.9,133.88,2300.1,1.06
"430052",1269,721,14,1708.27,322.69,1677.72,1.21
"5660223",1458,908,9,1055.05,326.87,1016.71,1.29
