"","sourceid","dstid","hod","mean_travel_time","standard_deviation_travel_time","geometric_mean_travel_time","geometric_standard_deviation_travel_time"
"8426455",2434,1073,18,1366,384.62,1319.41,1.29
"9400885",2407,1100,18,3186.31,811.78,3081.28,1.3
"3070445",892,612,17,2568.88,479.16,2524.58,1.21
"6241212",431,2201,21,1668.11,439.76,1615.07,1.29
"9455546",2318,859,8,1029.75,254.46,1000.59,1.27
"8782613",1940,1939,17,231.47,175.65,183.12,1.97
"9894334",930,555,14,768.46,291.47,719.55,1.43
"4109978",408,2504,20,857.92,341.91,810.79,1.37
"10703441",2344,1280,22,751.05,266.83,717.18,1.33
"9109168",1299,1703,22,440.45,284.46,364.26,1.93
"2863785",1447,495,9,591.1,256.74,538.2,1.56
"2608037",1244,665,18,2070.89,562.08,2012.41,1.26
"1805912",684,1914,1,1739.71,389.16,1702.38,1.22
"3944263",1695,593,9,853.39,279.31,815.87,1.33
"9557156",2308,1658,5,1141.5,368.85,1095.45,1.31
"3594786",1734,1739,6,2066.17,287.41,2046.3,1.15
"4123201",1949,1824,0,557.4,118.61,545.52,1.23
"5235418",21,2620,1,1831.38,364.43,1797.02,1.21
"3617630",597,1739,22,1649,380.37,1603.43,1.27
"3503054",80,431,12,2362.9,279.6,2346.45,1.13
"927103",2658,1303,6,1009.81,349.39,958.31,1.37
"10330511",1528,2316,11,2035.82,408.59,1995.89,1.22
"2475865",2251,113,15,2974.67,267.77,2962.91,1.09
"5772408",2172,1932,2,94.49,131.22,61.04,2.3
"9237929",1106,1528,1,1653.4,526.4,1577.42,1.35
"9515766",1833,304,22,48.38,106.17,23.89,3.24
"6333329",1592,1602,4,249.53,195.37,190.06,2.36
"9359860",2173,1646,10,2934.29,382.46,2911.48,1.13
"10934274",665,1446,10,701.15,152.21,686.36,1.22
"2547152",2554,2634,4,1461.79,491.18,1389.76,1.36
"3903896",92,898,8,374.83,63.35,369.72,1.18
"9341146",2489,1939,10,1154.31,356.64,1106.32,1.33
"10642123",345,703,20,1446.53,509.04,1358.33,1.43
"8703558",1695,338,6,2045.18,504.96,1989.52,1.26
"2427849",2443,1046,3,1119.62,435.89,1055.6,1.38
"6157379",2340,1438,9,932.84,252.8,906.49,1.26
"5081155",1916,1936,21,440.52,196.92,407.23,1.46
"8265682",1597,1066,8,891.23,370.85,824.76,1.47
"8689349",2647,61,18,1216.89,339.81,1172.32,1.31
"8993797",308,1331,9,1011.93,162.27,1000.85,1.15
"10647395",1574,1105,14,1325,182.43,1312.46,1.15
"5939415",81,2554,21,1656.46,265.43,1635.29,1.17
"5584305",31,1060,11,1662.52,379.4,1619.74,1.26
"9964710",1269,1873,11,982.95,379.82,925.88,1.39
"8838516",2452,434,7,2191.99,678.24,2086.47,1.38
"3923937",2516,273,10,862.14,240.43,837.29,1.25
"1141756",1014,1615,8,1640.25,432.61,1592.23,1.26
"3252095",173,1310,5,1291,342.93,1244.02,1.32
"9056256",1768,661,19,875.71,211.91,854.47,1.24
"4271794",1736,119,18,1225.05,256.93,1197.34,1.24
